	0	0	0
110	591 reviews	$$$	125 W 44th StNew York, NY 10036
111	127 reviews	$$	688 10th AveNew York, NY 10019
112	99 reviews	$$	39 W 19th StNew York, NY 10011
113	589 reviews	$$	807 8th AveNew York, NY 10019
114	300 reviews	$	120 W 44th StNew York, NY 10036
115	476 reviews	$$	132 W 47th StNew York, NY 10036
116	51 reviews	$$	480 9th AveNew York, NY 10018
117	18 reviews	$$	156 W 44th StNew York, NY 10036
118	895 reviews	$$	146 BroadwayBrooklyn, NY 11211
119	964 reviews	$$	274 W 40th StNew York, NY 10018
120	87 reviews	$$	628 10th AveNew York, NY 10036
121	450 reviews	$	150 W 36 streetNew York, NY 10018
122	593 reviews	$$	230 Park AveNew York, NY 10169
123	373 reviews	$$	250 W 43rd StNew York, NY 10036
124	577 reviews	$$	120 W 41st StNew York, NY 10036
125	1152 reviews	$$	13 E 37th StNew York, NY 10016
126	1438 reviews	$	342 Lexington AveNew York, NY 10016
127	44 reviews	$	470 W 42nd StNew York, NY 10036
128	995 reviews	$$	14 E 34th StNew York, NY 10016
129	394 reviews	$$	146 BroadwayBrooklyn, NY 11211
130	157 reviews	$$	373 W 46th StNew York, NY 10036
131	240 reviews	$$	23 W 45th StNew York, NY 10036
132	159 reviews	$$	245 W 51st StNew York, NY 10019
133	163 reviews	$$	167 E 33rd StNew York, NY 10016
134	36 reviews	$	5W 32nd StNew York, NY 10001
135	236 reviews	$	144 W 46th StNew York, NY 10036
136	70 reviews	$$	18 E 41st StNew York, NY 10017
137	154 reviews	$$	135 W 50th StNew York, NY 10020
138	1703 reviews	$$	644 10th AveNew York, NY 10036
139	63 reviews	$$	360 W 42nd StreetNew York, NY 10036
140	612 reviews	$$$$	146 BroadwayBrooklyn, NY 11211
141	1372 reviews	$	243 W 38th StNew York, NY 10018
142	133 reviews	$$	49th & 6thNew York, NY 10019
143	360 reviews	$$	273 W 38th StNew York, NY 10018
144	478 reviews	$$	1440 BroadwayNew York, NY 10018
145	60 reviews	$$	263 W 30th StNew York, NY 10001
146	443 reviews	$$	1065 Ave Of The AmericasNew York, NY 10018
147	2217 reviews	$$	956 2nd AveNew York, NY 10022
148	25 reviews	$$	701 9th AveNew York, NY 10019
149	248 reviews	$	488 9th AveNew York, NY 10018
150	377 reviews	$$	413 8th AveNew York, NY 10001
151	7 reviews	$$$	146 BroadwayBrooklyn, NY 11211
152	9 reviews	$$	683 8th AveNew York, NY 10018
153	1809 reviews	$$	450 10th AveNew York, NY 10018
154	556 reviews	$	5 Times Square Nyc/5New York, NY 10036
155	317 reviews	$	119 W 40th StNew York, NY 10018
156	688 reviews	$$	123 W 44th StNew York, NY 10036
157	927 reviews	$$	1221 Ave Of The AmericasNew York, NY 10020
158	1000 reviews	$$	14 E 37th StNew York, NY 10016
159	2255 reviews	$$	20 W 46th StNew York, NY 10036
160	924 reviews	$$	691 10th AveNew York, NY 10036
161	465 reviews	$$	1412 BroadwayNew York, NY 10018
162	32 reviews	$$	146 BroadwayBrooklyn, NY 11211
163	6 reviews	$$	120 E 34th St New York Ny 10016New York, NY 10016
164	328 reviews	$$	22 W 8th StNew York, NY 10011
165	282 reviews	$$$	456 9th AveNew York, NY 10018
166	100 reviews	$	10 E 39th StNew York, NY 10016
167	8 reviews	$$	17 E 31st StNew York, NY 10016
168	224 reviews	$$	627 9th AveNew York, NY 10036
169	735 reviews	$$	58 W 56th StNew York, NY 10019
170	346 reviews	$$	355 W 46th StNew York, NY 10036
171	58 reviews	$$	5 E 19th StNew York, NY 10003
172	257 reviews	$$	409 8th AveNew York, NY 10001
173	698 reviews	$$	146 BroadwayBrooklyn, NY 11211
174	364 reviews	$	570 8th AveNew York, NY 10018
175	254 reviews	$$	570 8th AveNew York, NY 10018
176	740 reviews	$$$$	43 W 39th StNew York, NY 10018
177	70 reviews	$$	121 W 45th StNew York, NY 10036
178	117 reviews	$	42 West 48th StNew York, NY 10036
179	211 reviews	$$	29 A Clinton StNew York, NY 10002
180	6 reviews	$$	11 W 51st StNew York, NY 10019
181	311 reviews	$$	32 W 33rd StNew York, NY 10001
182	466 reviews	$$	585 7th AveNew York, NY 10036
183	323 reviews	$$	68 W 39th StNew York, NY 10018
184	2017 reviews	$$	146 BroadwayBrooklyn, NY 11211
185	2578 reviews	$	754 9th AveNew York, NY 10019
186	140 reviews	$	4 E 46th StNew York, NY 10017
187	1329 reviews	$$	65 W 37th StNew York, NY 10018
188	163 reviews	$$	235 W 35th StNew York, NY 10001
189	816 reviews	$$	150 E 46th StNew York, NY 10017
190	164 reviews	$$	856 8th AveNew York, NY 10019
191	677 reviews	$$	228 W 39th StNew York, NY 10018
192	801 reviews	$$	37 W 54th StNew York, NY 10019
193	166 reviews	$$	360 W 46th StNew York, NY 10036
194	6 reviews	$	123 W 45th StNew York, NY 10036
195	1450 reviews	$	146 BroadwayBrooklyn, NY 11211
196	144 reviews	$	326 W 47th StNew York, NY 10036
197	23 reviews	$$	242 W 49th StNew York, NY 10019
198	302 reviews	$$	155 W 51st StNew York, NY 10019
199	458 reviews	$$$	509 Amsterdam AveNew York, NY 10024
200	114 reviews	$$	1114 6th AveNew York, NY 10036
201	224 reviews	$$	241 W 42nd StNew York, NY 10036
202	1936 reviews	$$$	234 W 48th StNew York, NY 10036
203	54 reviews	$	3 E 36th StNew York, NY 10016
204	28 reviews		211 E 43rd StNew York, NY 10017
205	274 reviews		146 BroadwayBrooklyn, NY 11211
206	630 reviews		620 8th AveNew York, NY 10018
207	1495 reviews		449 W 51st StNew York, NY 10019
208	576 reviews		163 W 48th StNew York, NY 10036
209	280 reviews		95 1st AveNew York, NY 10003
210	648 reviews		607 10th AveNew York, NY 10036
211	274 reviews		24 W 46th StNew York, NY 10036
212			326 W 46th StNew York, NY 10036
213			125 W 43rd StNew York, NY 10036
214			134 West 37th StNew York, NY 10018
215			120 W 44th StNew York, NY 10036
216			146 BroadwayBrooklyn, NY 11211
217			144B W 37th StNew York, NY 10018
218			42ND St And Sixth AveNew York, NY 10036
219			547 9th AveNew York, NY 10018
220			251 W 50th StNew York, NY 10012
221			357 W 44th StNew York, NY 10036
222			24 E 39th StNew York, NY 10016
223			70 W 45th StNew York, NY 10036
224			760 8th AveNew York, NY 10036
